feature_name,importance_gain,importance_split
D_50_std,131.29235431849958,42.6
diff_D_107_std,131.1350012138486,42.0
oneHot_B_38_500.0_std,130.8679726868868,31.6
last3_diff_D_39_mean,130.81210997104645,35.6
rank_B_5_last,130.60136095462366,45.0
last3_D_39_mean,130.28146158009767,29.8
last6_P_3_sum,130.0991093531251,33.6
S_3_std,129.7043800074607,42.6
last3_diff_D_46_std,129.56304965540767,46.6
ym_rank_R_2_mean,129.48304211497307,21.4
ym_rank_S_3_max,129.0970740556717,29.8
D_107_std,129.08488421663642,39.6
last3_diff_D_61_mean,129.0728635918349,51.6
ym_rank_D_39_mean,128.90375483222306,36.8
ym_rank_D_77_std,128.52834172844888,49.4
B_3_last,128.32956085205078,16.0
ym_rank_R_27_sum,128.29948706775903,36.0
ym_rank_B_33_std,128.13239596299826,18.2
last6_D_48_std,128.01914662052877,56.4
rank_B_28_last,127.96811377033592,40.0
diff_P_2_std,127.85164160728455,48.6
ym_rank_D_50_max,127.80668379664421,30.4
rank_S_24_last,127.80412222743034,49.2
last3_B_4_min,127.5178550362587,26.4
rank_D_115_last,127.30852196067572,45.4
last3_B_1_min,126.64601011192426,15.0
ym_rank_D_46_mean,126.43094622045756,40.8
ym_rank_R_6_sum,126.32275607734918,25.8
rank_S_3_last,126.2213876336813,46.0
last3_D_46_std,126.02127404939384,49.4
diff_B_37_sum,125.71844728216529,21.2
ym_rank_B_10_max,125.60132743120194,36.0
P_3_max,125.52681424543262,43.2
diff_B_4_sum,125.51017365157604,31.6
last3_B_23_std,125.33518773168325,44.2
ym_rank_B_14_min,125.21519195437432,35.0
last3_diff_B_23_mean,124.72857744097709,31.4
last6_D_122_mean,124.71953478008508,41.4
ym_rank_D_84_mean,124.20627569109202,21.4
ym_rank_D_46_max,124.20040365457535,48.0
D_62_mean,124.19988085962832,39.8
diff_B_10_min,124.17987219244242,43.6
last6_S_7_std,124.0122845068574,43.8
last6_B_9_sum,123.5045561760664,17.8
ym_rank_D_48_max,123.26062020845711,43.6
S_11_last,123.16626395657659,29.4
diff_D_48_std,123.03358480334282,53.0
last6_D_46_mean,122.94277116060258,46.0
last3_D_46_mean,122.94238439202309,44.0
diff_D_46_max,122.41262948922812,46.2
D_58_max,121.4244233340025,27.2
last6_B_7_sum,121.22734417915345,31.4
last6_R_3_mean,121.2196238592267,28.8
last6_S_11_min,121.20487070083618,24.2
last3_diff_D_41_std,121.18896684646606,14.8
S_25_std,121.07756591774523,26.0
R_11_std,120.76202447414398,28.8
last3_diff_B_4_std,120.6408290296793,41.6
last3_P_3_std,120.6179957434535,50.4
last6_B_3_max,120.53591586351395,20.2
D_42_min,120.49548405408859,16.2
last6_D_59_max,120.29848181833513,34.4
last6_D_46_std,120.25924955252557,48.8
last6_B_40_std,120.1755171045661,38.8
rank_D_77_last,120.03388012945652,52.2
last3_diff_D_39_sum,119.94518457353115,34.8
diff_S_23_std,119.93411277085542,25.8
ym_rank_D_124_max,119.7351816341281,46.6
diff_B_40_min,119.52377884117887,39.0
diff_B_7_mean,119.41579134762287,26.8
diff_B_2_std,119.22158810198307,42.0
ym_rank_P_2_sum,119.03735869526864,16.6
rank_B_11_last,118.99910077750683,34.4
ym_rank_B_17_max,118.4610182404518,27.8
last3_S_11_min,118.42262217402458,16.0
rank_B_23_last,118.24057155996562,40.4
oneHot_B_38_400.0_std,118.19061648845673,20.8
rank_D_62_last,117.77974673267454,47.4
S_25_sum,117.76657009422779,30.8
D_74_max,117.58560138642788,19.8
last3_D_59_min,117.53655011206865,36.6
ym_rank_D_77_mean,117.50759736783803,36.8
D_42_max,117.20116649270058,16.4
ym_rank_D_144_sum,117.17460364997388,15.4
last3_diff_P_2_sum,117.14396251887084,37.4
diff_B_37_mean,117.02938928138465,23.4
ym_rank_B_5_std,116.69462813237915,45.0
D_75_std,116.36275431811809,30.6
ym_rank_B_21_last,116.3241603732109,12.2
last6_R_3_sum,116.04875407367945,29.6
diff_D_61_std,115.98454033955932,46.0
diff_B_40_mean,115.7887611180544,33.6
diff_D_55_std,115.679182834737,44.0
last3_diff_D_39_max,115.65038404911756,39.2
last6_D_44_mean,115.16053812503814,10.8
ym_rank_S_23_sum,114.93501586019993,42.6
ym_rank_B_17_mean,114.74453461011872,37.4
D_48_max,114.61340677663684,37.4
last6_D_48_sum,114.5725631956011,12.2
diff_D_48_sum,114.24204403273761,33.4
rank_D_52_last,114.18661480359734,46.4
D_59_min,114.15528309196233,39.6
last3_diff_D_61_max,113.55733621176333,43.2
oneHot_D_117_200.0_mean,113.55732836723328,29.2
ym_rank_D_74_std,113.41405314952135,39.6
ym_rank_D_75_max,113.114313236624,23.8
last3_B_7_mean,112.98828835040331,19.2
ym_rank_D_77_max,112.60525850132107,49.2
D_52_max,112.5407084196806,38.2
last3_B_4_sum,112.44506340399384,23.4
D_47_std,112.31769413873553,43.6
ym_rank_D_58_std,112.27499354369938,33.6
diff_B_5_mean,112.15777626633644,34.0
last6_D_43_std,112.11186477486044,36.8
ym_rank_D_115_last,112.04411426186562,45.6
ym_rank_B_8_last,112.0234459489584,11.8
D_77_mean,112.01431145519018,42.0
last6_P_3_min,111.85534878261387,28.4
last6_D_50_mean,111.83472940325737,25.4
last3_B_4_mean,111.78373188227415,29.6
diff_D_59_last,111.77271194905043,33.6
ym_rank_D_39_max,111.6459914252162,29.0
ym_rank_B_19_sum,111.58905781805515,27.8
diff_S_8_std,111.53571237921714,41.2
last6_D_61_sum,111.44362344145775,30.2
last3_B_1_mean,111.35281826257706,20.0
last3_S_11_mean,111.31104376018047,33.0
last3_D_77_min,111.18628299236298,37.8
D_50_max,110.8811264410615,31.4
D_59_sum,110.77677126154303,38.6
diff_B_28_min,110.58186613917351,33.2
diff_S_15_std,110.48617560192943,42.8
last6_D_59_min,110.464430642128,41.0
ym_rank_P_3_std,110.34114214405417,43.0
diff_D_39_std,110.26296450346709,38.6
ym_rank_D_77_min,109.91950888186693,41.4
ym_rank_B_4_max,109.87383210361004,33.6
D_77_std,109.81143147945404,47.0
last3_S_3_min,109.72358682453633,30.2
ym_rank_B_3_mean,109.49110235571861,28.2
diff_D_46_std,109.4886730223894,43.4
ym_rank_D_133_sum,109.2313792012632,18.0
D_52_std,109.22486803808715,40.6
P_3_std,109.11189109385013,39.2
ym_rank_D_46_min,109.03450354412197,40.0
ym_rank_D_59_min,108.91153983175755,43.6
diff_D_62_min,108.88376642391086,42.4
